speed,direction
15.23,113.5
14.38,110.5
14.16,108
11.75,108.16
7.86,103.16
6.85,103.66
11.46,106.83
13.23,110.33
12.95,112.33
13.86,114.16
16.9,121.33
15.21,116.66
14.43,120.16
14.2,120.33
12.88,126
11.46,128.5
11.8,126.33
12.21,125
8.73,108.83
5.36,106.5
2.71,118.66
3,137.33
5.68,96.5
5.83,67.33
5.91,96.66
10.070135,76.83
11.93,96.16
11.93,101.66
14.25,112.83
13.38,104.16
13.95,110.5
13.71,109
12.78,108.5
12.55,113.16
15.21,121.16
13.31,120.66
11.75,126.83
11.85,142.33
11.28,136.33
11.23,128.16
10.88,125.33
10.68,123.33
10.8,117.33
12.48,115.16
10.98,114
15.230983,109.16
13.43,98
13.43,107
14.56,112.16
12.41,110.16
10.53,99.83
10.41,96.66
12.21,100.16
16.15,107.66
17.23,110.16
15.6,116.33
15.01,120.5
14.31,124.83
17.58,120
18.48,115.83
17.1,113.83
18.21,118.66
13.58,127
10.95,130.83
16.18,116.16
16.63,114.83
17.76,105.33
16.9,112.33
15.7,111.83
17.45,108.5
17.2,103.66
18.16,101.33
14.08,101
12.76,106.83
15.21,100.16
13.11,94.5
17,106.33
14.1,106
17.01,108.5
16.28,112.16
17.25,114
16.11,118.66
16.76,121.83
17.45,115.33
18.48,108.5
16.58,111.16
15.56,115.16
13.73,116.33
15.68,109.66
14.58,108.66
13.78,110.16
13.16,107.83
13.45,110.16
14.71,103.33
11.83,104.66
13.818784,102.66
13.818784,88.83
10.070135,109.66
11.71,113.16
11.71,108.5
12.36,106.16
12.11,106
13.1,108.33
11.41,110
12.78,110.66
13.53,110.83
14.51,108.83
15.46,103.5
13.78,110.5
15.4,114.66
13.11,112
12.06,106.16
13.5,110.83
11.46,115.5
10.76,106.16
12.46,113.66
12.01,119
13.51,115.66
12.93,112.33
12.13,116.33
12.58,113.66
10.75,113.66
11.46,114.66
12.35,110.5
15.15,107.33
15.61,109.16
14.95,110.33
14,112
13.68,110.33
12.3,116
12.48,119.16
10.26,130.83
8.33,116.16
6.95,116.33
5.35,124.16
3.26,156
3.86,234.5
3.21,258.16
1.71,270.5
0.95,122.253569
4.6,132.66
2.43,132.66
4.58,121.5
5.48,123.83
2.73,95.83
1.61,139.5
0.5,123.83
1.16,177.33
2.48,130.66
4.65,130
5.76,130.83
4.25,150.5
5.68,132
5.78,128.5
5.46,133.16
3.65,176.16
3.48,268.83
3.5,259.16
4.56,260.16
4.8,283.33
5.01,291.83
5.66,283.83
5.05,306.16
4.15,313.5
4.1,312.16
3.13,178.89211
3.86,178.89211
2.36,282.591513
1.58,319
2.36,319
1.81,276.66
2.23,258
3.18,283.5
3.2,294.16
3.43,310.16
2.08,122.253569
3.43,105.5
3.96,105.5
4.31,114.66
3.53,118.5
2.58,191
2.2,277.16
2.08,271
2.73,266
2.08,257.83
3.15,259.33
4.26,291.16
4.11,332.83
4.66,335.83
5.9,178.89211
4.85,178.89211
3.51,178.89211
4.08,178.89211
4.81,282.591513
3.45,325
4.58,325
3.93,336
1.63,246
0.78,287.83
0.83,194.66
1.21,189
1.75,232.83
1.63,184.5
1.78,238.16
2.26,271.33
1.9,229.33
3.51,268.83
3.85,283.83
4.38,277.83
4.48,280.16
3.53,274.33
3.35,261.16
3,291.16
2.45,290.83
1.6,296.83
1.33,242.16
1.4,244.83
2.63,270
2.98,282.16
3.06,242.83
1.85,183.83
2.23,265.83
2.23,257.66
1.9,232.066616
2.81,227.16
3.23,227.16
3.23,268.5
3.76,270.83
4.95,266.16
4.86,285.83
4.31,292
3.8,305.5
3.61,277.16
3.46,271.66
3.35,282.16
3.95,240.33
3.73,251.83
3.88,248.66
3.66,227.16
2.15,193.66
1.75,187.16
1.43,256.83
1.28,242
1.03,225
2.73,252.66
2.2,220.66
